StavbaTyp;VaznikyTyp;DelkaMinMetry;DelkaMaxMetry;Kod;HmotnostKg
Plochy;RD;1;3;plochy 3x0,3;11
Plochy;RD;3;4;plochy 4x0,3;14,6
Plochy;RD;4;5;plochy 5x0,3;18,2
Plochy;RD;5;6;plochy 6x0,3;21,73333333
Plochy;RD;6;7;plochy 7x0,3;25,33333333
Plochy;RD;7;8;plochy 8x0,3;28,93333333
Plochy;Vestavek;1;3;plochy 3x0,4;12,13333333
Plochy;Vestavek;3;4;plochy 4x0,4;16,06666667
Plochy;Vestavek;4;5;plochy 5x0,4;19,93333333
Plochy;Vestavek;5;6;plochy 6x0,4;23,86666667
Plochy;Vestavek;6;7;plochy 7x0,4;27,8
Plochy;Vestavek;7;8;plochy 8x0,4;31,73333333
SedlovySklon15;RD;1;3;3m;12,73333333
SedlovySklon15;RD;3;4;4m;17,66666667
SedlovySklon15;RD;4;5;5m;22,46666667
SedlovySklon15;RD;5;6;6m;27,66666667
SedlovySklon15;RD;6;7;7m;33,8
SedlovySklon15;RD;7;8;8m;40,4
SedlovySklon35;RD;1;3;3m;15,86666667
SedlovySklon35;RD;3;4;4m;23,2
SedlovySklon35;RD;4;5;5m;31
SedlovySklon35;RD;5;6;6m;40
SedlovySklon35;RD;6;7;7m;50,8
SedlovySklon35;RD;7;8;8m;62,73333333
SedlovySklon45;RD;1;3;3m;18,26666667
SedlovySklon45;RD;3;4;4m;27,33333333
SedlovySklon45;RD;4;5;5m;37,33333333
SedlovySklon45;RD;5;6;6m;49,13333333
SedlovySklon45;RD;6;7;7m;63,26666667
SedlovySklon45;RD;7;8;8m;78,93333333
